Number of Unique Items: 210
{"name":"Cap of Flaming Cunning","stock":1273,"cost":50.84}
{"name":"Shirt of Mediocre Studiness","stock":1274,"cost":47.2}
{"name":"Shirt of Negligible Cunning","stock":1553,"cost":30.27}
{"name":"Shirt of Negligible Distraction","stock":1794,"cost":66.4}
{"name":"Shirt of Negligible Intelligence","stock":1832,"cost":23.49}
{"name":"Shirt of Negligible Looks","stock":1623,"cost":54.55}
{"name":"Shirt of Negligible Reputation","stock":1522,"cost":58.12}
{"name":"Shirt of Negligible Studiness","stock":1506,"cost":41.69}
{"name":"Shirt of Profound Cunning","stock":1559,"cost":45.69}
{"name":"Shirt of Profound Distraction","stock":1063,"cost":26.32}
{"name":"Shirt of Profound Intelligence","stock":1357,"cost":40.02}
{"name":"Shirt of Profound Looks","stock":1312,"cost":56.42}
{"name":"Shirt of Profound Reputation","stock":1650,"cost":38.52}
{"name":"Shirt of Profound Studiness","stock":1219,"cost":22.88}
{"name":"Shoes of Flaming Cunning","stock":1233,"cost":27.84}
{"name":"Shoes of Flaming Distraction","stock":1484,"cost":50.61}
{"name":"Shoes of Flaming Intelligence","stock":1424,"cost":31.59}
{"name":"Shoes of Flaming Looks","stock":1435,"cost":80.36}
{"name":"Shoes of Flaming Reputation","stock":1323,"cost":71.62}
{"name":"Shoes of Flaming Studiness","stock":1200,"cost":64.85}
{"name":"Shoes of Icy Cunning","stock":1295,"cost":28.33}
{"name":"Shoes of Icy Distraction","stock":1802,"cost":55.46}
{"name":"Shoes of Icy Intelligence","stock":1573,"cost":63.31}
{"name":"Shoes of Icy Looks","stock":1623,"cost":49.49}
{"name":"Shoes of Icy Reputation","stock":1524,"cost":33.03}
{"name":"Shoes of Icy Studiness","stock":1482,"cost":64.87}
{"name":"Shoes of Mediocre Cunning","stock":890,"cost":68.3}
{"name":"Shoes of Mediocre Distraction","stock":1520,"cost":91.27}
{"name":"Shoes of Mediocre Intelligence","stock":1211,"cost":59.33}
{"name":"Shoes of Mediocre Looks","stock":1518,"cost":54.85}
{"name":"Shoes of Mediocre Reputation","stock":981,"cost":64.27}
{"name":"Shoes of Mediocre Studiness","stock":1746,"cost":13.63}
{"name":"Shoes of Negligible Cunning","stock":1332,"cost":47.47}
{"name":"Shoes of Negligible Distraction","stock":1122,"cost":25.98}
{"name":"Shoes of Negligible Intelligence","stock":904,"cost":17.51}
{"name":"Shoes of Negligible Looks","stock":1350,"cost":36.78}
{"name":"Shoes of Negligible Reputation","stock":1539,"cost":74.16}
{"name":"Shoes of Negligible Studiness","stock":1085,"cost":53.22}
{"name":"Shoes of Profound Cunning","stock":1524,"cost":66.58}
{"name":"Shoes of Profound Distraction","stock":1297,"cost":36.92}
{"name":"Shoes of Profound Intelligence","stock":1510,"cost":56.89}
{"name":"Shoes of Profound Looks","stock":1207,"cost":43.52}
{"name":"Shoes of Profound Reputation","stock":1204,"cost":54.97}
{"name":"Shoes of Profound Studiness","stock":1658,"cost":67.32}
{"name":"Wand of Flaming Cunning","stock":1560,"cost":39.89}
{"name":"Wand of Flaming Distraction","stock":1237,"cost":42.72}
{"name":"Wand of Flaming Intelligence","stock":1401,"cost":76.77}
{"name":"Wand of Flaming Looks","stock":1253,"cost":71.61}
{"name":"Wand of Flaming Reputation","stock":1283,"cost":36.59}
{"name":"Wand of Flaming Studiness","stock":1584,"cost":37.36}
{"name":"Wand of Icy Cunning","stock":1444,"cost":51.01}
{"name":"Wand of Icy Distraction","stock":1493,"cost":67.14}
{"name":"Wand of Icy Intelligence","stock":1249,"cost":74.84}
{"name":"Wand of Icy Looks","stock":1009,"cost":42.9}
{"name":"Wand of Icy Reputation","stock":1609,"cost":72.1}
{"name":"Wand of Icy Studiness","stock":1046,"cost":38.07}
{"name":"Wand of Mediocre Cunning","stock":1300,"cost":58.08}
{"name":"Wand of Mediocre Distraction","stock":1286,"cost":54.71}
{"name":"Wand of Mediocre Intelligence","stock":1275,"cost":29.28}
{"name":"Wand of Mediocre Looks","stock":1786,"cost":53.64}
{"name":"Wand of Mediocre Reputation","stock":1499,"cost":29.85}
{"name":"Wand of Mediocre Studiness","stock":1733,"cost":47.13}
{"name":"Wand of Negligible Cunning","stock":1164,"cost":28.57}
{"name":"Wand of Negligible Distraction","stock":1227,"cost":53.22}
{"name":"Wand of Negligible Intelligence","stock":1656,"cost":34.71}
{"name":"Wand of Negligible Looks","stock":1212,"cost":26.84}
{"name":"Wand of Negligible Reputation","stock":1376,"cost":43.4}
{"name":"Wand of Negligible Studiness","stock":1184,"cost":38.38}
{"name":"Wand of Profound Cunning","stock":1595,"cost":22.32}
{"name":"Wand of Profound Distraction","stock":1476,"cost":52.25}
{"name":"Wand of Profound Intelligence","stock":1547,"cost":44.41}
{"name":"Wand of Profound Looks","stock":1237,"cost":38.07}
{"name":"Wand of Profound Reputation","stock":1445,"cost":32.88}
{"name":"Wand of Profound Studiness","stock":1122,"cost":64.9}
